customer_id,age,gender,annual_income,occupation,education,marital_status,city_tier,existing_investment_amount,number_of_dependents,risk_appetite,credit_score,customer_tenure_months,app_usage_minutes_per_week,marketing_calls_received,email_open_rate,past_sip_holder,invested
QMF00040,30,Male,983000,Salaried,Post-Graduate,Married,Tier-2,45000,1,Medium,734,26,74,2,0.18,0,1
QMF00041,60,Male,210000,Salaried,Post-Graduate,Single,Tier-3,273000,1,Low,628,26,79,2,0.136,1,0
QMF00042,39,Male,284000,Self-Employed,Graduate,Married,Tier-2,189000,2,Low,778,34,25,8,0.643,1,0
QMF00043,25,Male,180000,Salaried,High School,Married,Tier-2,174000,0,Medium,719,8,52,3,0.304,1,0
QMF00044,46,Male,604000,Business,Post-Graduate,Married,Tier-2,335000,0,High,592,10,46,3,0.258,0,1
QMF00045,35,Female,301000,Salaried,Graduate,Married,Tier-2,175000,0,High,748,48,37,4,0.414,1,1
QMF00046,30,Male,406000,Salaried,High School,Married,Tier-2,50000,1,Medium,647,55,40,1,0.681,0,0
QMF00047,47,Female,260000,Self-Employed,Graduate,Married,Tier-2,178000,2,Medium,665,54,50,4,0.464,0,0
QMF00048,23,Female,303000,Retired,High School,Married,Tier-2,55000,0,Low,598,40,26,4,0.183,1,0
QMF00049,41,Male,710000,Salaried,Post-Graduate,Married,Tier-2,214000,2,High,730,15,71,4,0.343,0,1
QMF00050,49,Female,531000,Business,Graduate,Married,Tier-2,145000,0,High,668,18,83,3,0.378,0,1
QMF00051,28,Male,341000,Salaried,Post-Graduate,Married,Tier-2,12000,2,High,733,23,20,3,0.341,1,1
QMF00052,65,Male,553000,Business,Post-Graduate,Married,Tier-3,108000,4,Medium,635,62,84,2,0.263,1,1
QMF00053,29,Male,559000,Business,Post-Graduate,Single,Tier-2,63000,2,Low,626,46,20,2,0.712,1,0
QMF00054,56,Female,292000,Salaried,High School,Single,Tier-3,60000,3,High,620,39,71,2,0.576,0,0
QMF00055,35,Female,180000,Salaried,Post-Graduate,Single,Tier-3,138000,4,Medium,711,15,84,2,0.427,1,1
QMF00056,38,Male,221000,Business,Post-Graduate,Married,Tier-2,58000,1,Low,625,53,42,3,0.281,0,0
QMF00057,57,Male,180000,Salaried,High School,Married,Tier-2,225000,2,Medium,663,64,20,0,0.297,1,0
QMF00058,61,Male,687000,Business,Post-Graduate,Married,Tier-3,11000,3,Low,638,63,27,4,0.503,0,1
QMF00059,25,Female,756000,Salaried,Graduate,Married,Tier-2,162000,1,Low,715,16,55,3,0.167,1,0
QMF00060,23,Male,867000,Business,High School,Married,Tier-3,248000,1,Medium,541,70,103,6,0.507,0,0
QMF00061,27,Male,180000,Self-Employed,Graduate,Single,Tier-2,168000,4,Medium,699,66,0,4,0.651,1,1
QMF00062,63,Male,653000,Retired,Post-Graduate,Married,Tier-2,103000,2,High,818,13,48,1,0.413,0,1
QMF00063,25,Male,1223000,Salaried,High School,Married,Tier-1,450000,0,Low,778,47,42,4,0.376,0,1
QMF00064,50,Female,668000,Self-Employed,Post-Graduate,Single,Tier-1,53000,1,Low,630,9,31,6,0.536,0,1
QMF00065,39,Male,180000,Self-Employed,Post-Graduate,Single,Tier-3,3000,2,Low,719,63,42,3,0.713,1,0
QMF00066,47,Female,958000,Salaried,Post-Graduate,Single,Tier-2,85000,1,Low,704,34,28,2,0.746,0,1
QMF00067,65,Male,371000,Salaried,Graduate,Married,Tier-2,5000,2,Low,797,29,82,1,0.133,0,0
QMF00068,55,Female,319000,Salaried,High School,Married,Tier-3,462000,2,Medium,479,37,85,4,0.388,0,0
QMF00069,31,Male,464000,Business,Graduate,Married,Tier-2,35000,2,Medium,769,43,47,4,0.632,1,0
QMF00070,57,Male,203000,Salaried,Graduate,Married,Tier-2,233000,1,Medium,658,64,40,3,0.504,0,0
QMF00071,35,Female,363000,Salaried,Graduate,Married,Tier-2,223000,2,High,620,24,30,2,0.716,0,1
QMF00072,52,Female,883000,Self-Employed,Post-Graduate,Married,Tier-2,37000,2,Medium,618,71,47,4,0.091,0,1
QMF00073,36,Female,510000,Salaried,Post-Graduate,Single,Tier-1,146000,2,Low,576,34,100,6,0.514,1,1
QMF00074,29,Male,374000,Salaried,Post-Graduate,Married,Tier-2,7000,1,Low,630,48,41,3,0.381,0,1
QMF00075,35,Female,381000,Retired,Graduate,Single,Tier-2,99000,1,High,593,12,19,2,0.272,1,0
QMF00076,44,Male,189000,Retired,Graduate,Single,Tier-1,2000,4,Medium,694,23,33,5,0.785,1,1
QMF00077,61,Female,334000,Salaried,Graduate,Married,Tier-2,381000,0,High,727,13,67,1,0.223,0,0
QMF00078,42,Male,180000,Salaried,Graduate,Single,Tier-1,560000,1,High,659,45,23,1,0.182,0,0
QMF00079,37,Female,636000,Business,Post-Graduate,Married,Tier-1,38000,1,High,799,65,43,1,0.578,1,1
QMF00080,39,Female,180000,Salaried,Graduate,Married,Tier-1,35000,3,High,636,47,59,1,0.139,1,0
QMF00081,45,Female,580000,Salaried,Graduate,Single,Tier-1,210000,0,Medium,655,58,25,2,0.613,1,1
QMF00082,47,Male,621000,Salaried,Graduate,Married,Tier-2,44000,1,Low,642,5,0,3,0.237,0,0
QMF00083,46,Male,748000,Salaried,Graduate,Single,Tier-3,338000,0,High,727,5,12,1,0.337,0,0
QMF00084,62,Female,380000,Self-Employed,Graduate,Married,Tier-2,128000,2,Medium,735,60,19,1,0.294,0,0
QMF00085,50,Male,600000,Salaried,Graduate,Married,Tier-1,65000,0,Low,719,21,38,2,0.398,0,1
QMF00086,36,Female,332000,Self-Employed,Post-Graduate,Married,Tier-1,268000,1,Medium,670,24,46,3,0.307,0,1
QMF00087,22,Female,189000,Retired,Post-Graduate,Married,Tier-1,102000,1,Medium,572,18,69,5,0.377,0,0
QMF00088,46,Male,841000,Salaried,Post-Graduate,Married,Tier-2,364000,3,High,654,21,8,4,0.375,0,1
QMF00089,28,Female,343000,Self-Employed,High School,Single,Tier-1,395000,1,Medium,798,54,65,3,0.446,0,1
QMF00090,30,Male,180000,Business,Graduate,Single,Tier-2,27000,0,Low,761,10,33,1,0.363,0,0
QMF00091,45,Female,280000,Salaried,Post-Graduate,Single,Tier-1,0,1,High,703,24,0,2,0.302,0,0
QMF00092,22,Female,286000,Salaried,High School,Married,Tier-3,620000,4,High,649,60,45,0,0.63,1,0
QMF00093,65,Male,467000,Self-Employed,Graduate,Single,Tier-1,355000,2,Medium,678,57,84,2,0.548,0,0
QMF00094,29,Male,1317000,Self-Employed,High School,Single,Tier-1,9000,4,Low,649,23,71,2,0.601,0,0
QMF00095,45,Female,483000,Business,Graduate,Single,Tier-3,268000,3,Medium,775,22,42,5,0.467,0,0
QMF00096,32,Male,406000,Salaried,Graduate,Married,Tier-1,92000,0,Medium,612,68,78,3,0.661,0,1
QMF00097,38,Female,1398000,Retired,Graduate,Single,Tier-1,45000,2,Low,753,34,50,2,0.195,0,1
QMF00098,29,Male,621000,Salaried,Post-Graduate,Single,Tier-2,316000,1,Low,637,70,74,4,0.309,0,1
QMF00099,56,Male,417000,Salaried,Post-Graduate,Married,Tier-2,33000,2,Medium,785,28,0,5,0.338,0,1
QMF00100,56,Male,278000,Self-Employed,Post-Graduate,Single,Tier-2,441000,1,Medium,714,39,7,3,0.532,1,1
QMF00101,54,Male,431000,Salaried,Graduate,Married,Tier-1,35000,1,Medium,620,42,66,2,0.589,0,1
QMF00102,26,Male,349000,Salaried,Graduate,Married,Tier-1,143000,3,Low,655,23,91,0,0.303,0,0
QMF00103,63,Female,381000,Salaried,Graduate,Married,Tier-1,38000,0,Medium,736,70,57,3,0.484,1,1
QMF00104,60,Male,746000,Salaried,Graduate,Married,Tier-1,118000,3,Medium,640,2,30,1,0.312,0,0
QMF00105,62,Male,269000,Salaried,High School,Married,Tier-3,173000,0,Low,681,24,19,6,0.397,1,0
QMF00106,49,Male,480000,Retired,Graduate,Single,Tier-2,32000,0,Low,638,17,35,4,0.182,0,0
QMF00107,28,Male,610000,Salaried,Post-Graduate,Married,Tier-1,110000,3,Medium,820,65,81,3,0.797,0,1
QMF00108,30,Male,252000,Business,Post-Graduate,Single,Tier-2,95000,2,High,834,70,34,7,0.582,0,1
QMF00109,29,Female,230000,Business,Graduate,Single,Tier-1,11000,2,Medium,797,69,76,4,0.414,1,1
QMF00110,33,Female,333000,Retired,Post-Graduate,Married,Tier-3,256000,0,Low,670,60,64,3,0.397,0,1
QMF00111,55,Male,281000,Salaried,Graduate,Single,Tier-1,61000,1,Low,647,50,96,1,0.074,0,0
QMF00112,54,Female,683000,Business,Graduate,Single,Tier-1,128000,2,High,617,12,51,2,0.239,0,1
QMF00113,44,Female,209000,Salaried,Graduate,Single,Tier-2,108000,2,Low,802,47,43,1,0.255,0,0
QMF00114,45,Male,376000,Self-Employed,Post-Graduate,Single,Tier-2,108000,1,Medium,754,67,77,4,0.507,1,0
QMF00115,58,Female,1469000,Self-Employed,Graduate,Single,Tier-2,17000,4,Medium,758,65,16,2,0.313,0,0
QMF00116,56,Female,455000,Business,Post-Graduate,Married,Tier-1,83000,2,Low,660,27,31,1,0.18,1,1
QMF00117,65,Male,498000,Salaried,Post-Graduate,Married,Tier-1,90000,3,High,539,48,0,2,0.304,0,1
QMF00118,61,Male,686000,Business,Graduate,Single,Tier-2,198000,2,Medium,557,62,7,1,0.402,1,1
QMF00119,43,Female,281000,Salaried,Post-Graduate,Married,Tier-1,275000,2,Medium,684,44,102,3,0.3,0,1
QMF00120,48,Female,200000,Business,Post-Graduate,Married,Tier-3,118000,0,Low,638,19,65,1,0.265,1,0
QMF00121,56,Male,399000,Retired,Graduate,Married,Tier-1,14000,1,Low,628,59,3,3,0.583,0,0
QMF00122,22,Female,419000,Salaried,Graduate,Single,Tier-2,41000,3,Medium,707,8,80,3,0.462,1,1
QMF00123,56,Female,180000,Retired,Post-Graduate,Married,Tier-2,27000,0,Medium,761,55,23,1,0.245,0,0
QMF00124,58,Female,445000,Salaried,Graduate,Single,Tier-1,20000,0,Low,623,47,64,2,0.234,0,1
QMF00125,35,Female,652000,Salaried,Post-Graduate,Married,Tier-2,68000,1,Low,575,2,63,3,0.757,1,1
QMF00126,24,Female,219000,Salaried,Graduate,Married,Tier-3,39000,0,Low,625,39,94,6,0.412,0,0
QMF00127,22,Male,460000,Salaried,Graduate,Married,Tier-1,37000,3,High,596,45,28,3,0.394,1,0
QMF00128,26,Male,592000,Self-Employed,Graduate,Married,Tier-3,8000,3,Medium,727,32,22,5,0.275,0,0
QMF00129,47,Female,500000,Salaried,Graduate,Single,Tier-2,3000,1,High,679,65,0,1,0.257,0,0
QMF00130,35,Female,527000,Salaried,Post-Graduate,Single,Tier-1,16000,0,Low,830,38,41,2,0.13,1,1
QMF00131,60,Male,317000,Retired,Graduate,Single,Tier-1,28000,2,High,738,11,66,3,0.912,0,1
QMF00132,48,Female,195000,Business,Post-Graduate,Married,Tier-1,85000,2,Low,825,10,70,3,0.428,0,1
QMF00133,30,Female,283000,Business,High School,Married,Tier-2,107000,4,Medium,567,59,82,1,0.499,1,0
QMF00134,36,Male,262000,Business,Post-Graduate,Single,Tier-2,23000,2,High,419,55,53,3,0.705,0,1
QMF00135,36,Female,347000,Self-Employed,Post-Graduate,Single,Tier-3,83000,1,Low,699,20,60,3,0.101,0,0
QMF00136,47,Female,661000,Salaried,Graduate,Married,Tier-3,63000,1,Medium,689,17,47,1,0.805,0,1
QMF00137,63,Female,180000,Salaried,Graduate,Married,Tier-2,30000,4,Low,670,68,66,3,0.646,1,1
QMF00138,34,Male,392000,Self-Employed,Post-Graduate,Married,Tier-2,1000,2,Low,687,5,16,2,0.04,1,1
QMF00139,53,Male,202000,Salaried,Graduate,Single,Tier-1,94000,2,Medium,590,60,2,4,0.635,1,1
QMF00140,60,Male,241000,Self-Employed,Post-Graduate,Single,Tier-2,174000,0,Medium,725,23,20,4,0.059,0,0
QMF00141,53,Male,493000,Salaried,Graduate,Married,Tier-1,38000,2,Medium,738,46,51,3,0.118,0,0
QMF00142,25,Male,188000,Salaried,Post-Graduate,Married,Tier-2,21000,2,Medium,584,52,5,4,0.418,0,0
QMF00143,51,Male,542000,Salaried,High School,Single,Tier-1,327000,1,Medium,651,10,26,5,0.205,0,0
QMF00144,58,Male,180000,Self-Employed,High School,Married,Tier-1,48000,1,Low,656,46,26,3,0.381,0,0
QMF00145,44,Male,523000,Self-Employed,Post-Graduate,Married,Tier-1,38000,1,Low,626,28,68,2,0.603,0,0
QMF00146,60,Male,180000,Self-Employed,Post-Graduate,Married,Tier-1,292000,1,High,587,43,64,6,0.483,1,0
QMF00147,36,Male,258000,Salaried,Post-Graduate,Married,Tier-2,255000,0,Low,681,26,47,2,0.133,1,0
QMF00148,64,Male,1028000,Salaried,Post-Graduate,Married,Tier-2,89000,1,Medium,700,55,58,2,0.587,0,1
QMF00149,50,Female,927000,Business,Graduate,Single,Tier-2,101000,2,Low,631,48,59,4,0.353,1,1
QMF00150,57,Female,289000,Self-Employed,Graduate,Single,Tier-2,37000,0,Medium,592,29,34,1,0.796,1,0
QMF00151,34,Male,449000,Salaried,Graduate,Single,Tier-2,12000,1,Medium,712,27,28,0,0.531,0,0
QMF00152,53,Female,702000,Business,High School,Single,Tier-1,128000,3,Low,618,18,91,4,0.526,0,1
QMF00153,28,Male,527000,Salaried,Graduate,Married,Tier-1,16000,2,Low,655,60,0,4,0.366,0,0
QMF00154,43,Female,312000,Salaried,Post-Graduate,Single,Tier-2,89000,2,Medium,645,69,22,2,0.836,0,1
QMF00155,49,Male,240000,Salaried,Post-Graduate,Married,Tier-2,423000,1,Medium,779,21,38,0,0.575,0,1
QMF00156,23,Female,584000,Self-Employed,Post-Graduate,Single,Tier-1,458000,2,Low,622,24,61,3,0.4,0,1
QMF00157,63,Female,675000,Self-Employed,Post-Graduate,Single,Tier-1,41000,0,Medium,818,3,79,6,0.138,1,0
QMF00158,27,Female,931000,Salaried,Graduate,Married,Tier-1,147000,3,Low,740,62,100,4,0.272,0,1
QMF00159,49,Female,180000,Business,Post-Graduate,Married,Tier-2,96000,0,High,825,2,42,3,0.33,0,1
QMF00160,49,Male,182000,Salaried,Post-Graduate,Married,Tier-1,313000,2,Medium,733,66,44,1,0.315,0,0
QMF00161,65,Male,686000,Salaried,Graduate,Married,Tier-2,48000,1,Low,662,42,55,4,0.11,0,0
QMF00162,65,Female,180000,Salaried,Graduate,Married,Tier-3,1000,2,Medium,606,34,29,4,0.57,0,0
QMF00163,41,Male,716000,Salaried,Post-Graduate,Single,Tier-1,27000,1,Medium,651,42,9,2,0.25,0,0
QMF00164,51,Female,322000,Salaried,Post-Graduate,Single,Tier-3,65000,1,Low,798,20,42,7,0.424,1,0
QMF00165,32,Male,272000,Self-Employed,Graduate,Married,Tier-2,57000,0,Medium,676,68,67,2,0.371,0,0
QMF00166,49,Male,406000,Business,Post-Graduate,Married,Tier-2,235000,2,Low,732,45,37,4,0.515,1,1
QMF00167,46,Male,180000,Salaried,Post-Graduate,Married,Tier-2,171000,4,Low,696,42,57,1,0.389,0,1
QMF00168,60,Male,570000,Salaried,Graduate,Single,Tier-2,53000,3,Low,699,47,0,3,0.291,0,0
QMF00169,54,Female,917000,Salaried,High School,Married,Tier-2,92000,0,Medium,703,5,45,0,0.785,0,1
QMF00170,22,Male,585000,Salaried,Post-Graduate,Married,Tier-1,15000,1,Low,719,49,32,1,0.472,1,1
QMF00171,48,Male,316000,Salaried,Post-Graduate,Married,Tier-1,343000,3,Medium,614,37,6,3,0.494,1,0
QMF00172,34,Male,180000,Business,Post-Graduate,Married,Tier-1,411000,1,Medium,658,34,64,2,0.503,0,0
QMF00173,62,Male,180000,Salaried,Graduate,Married,Tier-1,585000,2,Medium,704,70,100,2,0.418,0,1
QMF00174,24,Female,180000,Self-Employed,Graduate,Single,Tier-1,304000,3,Medium,693,18,74,2,0.037,0,0
QMF00175,60,Male,360000,Business,Graduate,Married,Tier-1,29000,3,High,643,19,76,4,0.788,1,1
QMF00176,27,Female,386000,Salaried,Graduate,Single,Tier-1,7000,1,Medium,713,40,66,2,0.666,0,1
QMF00177,29,Male,584000,Business,Graduate,Married,Tier-2,130000,1,Medium,618,17,64,3,0.256,0,0
QMF00178,48,Female,180000,Self-Employed,High School,Single,Tier-3,366000,1,Low,582,60,0,4,0.134,0,0
QMF00179,30,Female,745000,Self-Employed,Post-Graduate,Single,Tier-3,29000,2,High,703,42,41,3,0.633,0,1
QMF00180,58,Female,531000,Salaried,Post-Graduate,Married,Tier-2,1000,1,Low,584,72,60,5,0.435,1,1
QMF00181,54,Female,303000,Salaried,High School,Married,Tier-2,246000,0,Low,702,65,60,1,0.531,0,0
QMF00182,63,Male,188000,Salaried,Post-Graduate,Married,Tier-3,12000,1,Medium,523,53,83,6,0.397,0,0
QMF00183,65,Male,720000,Salaried,Graduate,Single,Tier-1,80000,0,Low,622,7,14,3,0.726,0,1
QMF00184,45,Male,307000,Salaried,Graduate,Married,Tier-1,170000,2,Low,653,5,63,4,0.51,0,1
QMF00185,36,Male,358000,Self-Employed,Post-Graduate,Single,Tier-3,41000,2,Medium,551,24,13,4,0.473,0,0
QMF00186,53,Female,447000,Salaried,Post-Graduate,Married,Tier-2,13000,1,Medium,650,28,38,4,0.355,1,0
QMF00187,53,Female,219000,Retired,Graduate,Single,Tier-2,220000,1,Medium,774,62,43,2,0.51,0,0
QMF00188,45,Male,310000,Self-Employed,Post-Graduate,Single,Tier-1,149000,3,High,578,17,70,6,0.062,0,1
QMF00189,62,Male,583000,Salaried,Graduate,Single,Tier-1,670000,0,Low,652,20,67,1,0.2,0,1
QMF00190,33,Male,551000,Salaried,Post-Graduate,Married,Tier-3,63000,2,Low,816,3,48,6,0.328,1,1
QMF00191,60,Female,554000,Business,Post-Graduate,Married,Tier-2,10000,3,Medium,595,37,0,3,0.668,0,1
QMF00192,23,Female,192000,Business,Post-Graduate,Single,Tier-1,199000,1,Low,791,15,58,3,0.181,1,1
QMF00193,24,Male,318000,Self-Employed,High School,Married,Tier-1,111000,2,Medium,657,51,36,2,0.558,0,1
QMF00194,58,Female,291000,Salaried,Post-Graduate,Married,Tier-2,36000,4,Low,688,48,86,3,0.654,1,1
QMF00195,38,Female,458000,Salaried,High School,Married,Tier-2,228000,0,Medium,783,8,79,5,0.41,0,1
QMF00196,23,Male,436000,Salaried,High School,Married,Tier-1,34000,1,Medium,641,13,16,4,0.559,0,1
QMF00197,23,Female,395000,Salaried,Post-Graduate,Married,Tier-3,45000,1,Medium,730,48,62,4,0.755,0,1
QMF00198,49,Female,1406000,Business,Post-Graduate,Married,Tier-1,15000,1,Medium,750,3,63,2,0.206,1,1
QMF00199,44,Male,309000,Self-Employed,Graduate,Married,Tier-1,76000,3,Medium,627,65,60,4,0.526,1,0
QMF00200,58,Male,289000,Self-Employed,Graduate,Single,Tier-2,81000,3,Low,619,31,56,5,0.517,1,1
QMF00201,53,Male,192000,Business,Post-Graduate,Single,Tier-1,108000,2,Low,661,26,63,3,0.275,1,0
QMF00202,54,Male,180000,Self-Employed,Graduate,Single,Tier-3,185000,0,Low,664,56,90,5,0.409,0,0
QMF00203,22,Female,185000,Salaried,Graduate,Single,Tier-2,355000,0,Medium,593,34,28,1,0.705,0,0
QMF00204,40,Female,244000,Salaried,High School,Married,Tier-2,22000,2,Medium,628,9,17,4,0.267,1,0
QMF00205,23,Male,745000,Retired,High School,Married,Tier-1,8000,0,Medium,402,62,68,3,0.416,1,1
QMF00206,65,Male,370000,Salaried,Post-Graduate,Married,Tier-1,3000,2,Low,653,13,0,6,0.137,0,0
QMF00207,47,Male,403000,Retired,Graduate,Married,Tier-1,23000,1,Medium,751,69,64,4,0.096,0,0
QMF00208,53,Male,344000,Business,Graduate,Single,Tier-2,161000,2,High,546,41,59,3,0.555,0,0
QMF00209,27,Female,443000,Salaried,Graduate,Married,Tier-2,195000,2,Low,642,1,0,2,0.304,0,0
QMF00210,53,Male,783000,Self-Employed,Graduate,Married,Tier-3,232000,1,Low,875,47,25,3,0.228,0,0
QMF00211,25,Male,180000,Business,Graduate,Married,Tier-2,42000,0,Low,678,4,92,3,0.395,0,0
QMF00212,32,Male,708000,Self-Employed,Graduate,Married,Tier-3,55000,1,Medium,788,63,1,1,0.556,0,0
QMF00213,38,Female,180000,Retired,High School,Single,Tier-2,99000,1,Medium,599,52,51,2,0.861,1,1
QMF00214,59,Male,368000,Retired,Post-Graduate,Married,Tier-1,10000,2,Low,715,10,14,3,0.435,1,0
QMF00215,45,Female,1209000,Salaried,Graduate,Single,Tier-1,142000,2,Medium,585,28,23,4,0.078,1,1
QMF00216,26,Male,527000,Salaried,Graduate,Married,Tier-2,618000,2,Low,712,6,102,3,0.327,1,1
QMF00217,55,Female,445000,Retired,Post-Graduate,Married,Tier-1,67000,4,Medium,747,27,48,1,0.18,0,1
QMF00218,27,Female,1089000,Self-Employed,Graduate,Single,Tier-1,210000,1,Medium,728,12,60,1,0.677,1,1
QMF00219,43,Male,246000,Salaried,High School,Married,Tier-2,104000,0,Medium,652,62,41,1,0.319,0,0
QMF00220,32,Male,460000,Salaried,Graduate,Single,Tier-3,21000,1,Low,701,52,0,4,0.716,1,1
QMF00221,37,Female,498000,Self-Employed,Graduate,Single,Tier-1,131000,2,High,702,48,9,2,0.532,0,0
QMF00222,54,Female,272000,Retired,Graduate,Single,Tier-2,53000,1,Medium,733,67,80,4,0.353,1,1
QMF00223,30,Male,285000,Business,Graduate,Single,Tier-3,5000,3,Low,670,46,49,2,0.692,0,0
QMF00224,27,Male,269000,Self-Employed,Post-Graduate,Married,Tier-2,151000,1,Low,754,15,21,3,0.453,0,1
QMF00225,37,Female,380000,Salaried,Post-Graduate,Single,Tier-1,294000,3,Medium,794,71,44,5,0.225,0,0
QMF00226,50,Female,489000,Salaried,Post-Graduate,Married,Tier-1,63000,4,High,654,36,64,4,0.124,0,1
QMF00227,24,Male,388000,Business,Graduate,Single,Tier-2,74000,0,High,683,14,58,3,0.329,0,1
QMF00228,41,Female,535000,Salaried,Post-Graduate,Single,Tier-2,332000,1,Medium,607,3,21,1,0.342,0,1
QMF00229,57,Male,180000,Salaried,Post-Graduate,Single,Tier-3,252000,2,High,707,67,0,4,0.375,1,1
QMF00230,40,Male,321000,Salaried,High School,Single,Tier-2,188000,1,Low,707,19,32,4,0.328,0,0
QMF00231,47,Male,206000,Self-Employed,Graduate,Married,Tier-1,43000,1,Low,684,54,78,3,0.447,0,0
QMF00232,24,Male,428000,Retired,Graduate,Single,Tier-1,362000,2,High,690,69,70,4,0.408,0,0
QMF00233,40,Male,424000,Salaried,Post-Graduate,Single,Tier-2,25000,0,Medium,833,10,57,4,0.112,0,0
QMF00234,41,Female,340000,Salaried,Post-Graduate,Single,Tier-1,148000,2,Medium,449,33,39,3,0.299,0,1
QMF00235,53,Male,480000,Self-Employed,Graduate,Single,Tier-1,4000,2,Medium,640,13,29,1,0.34,0,1
QMF00236,28,Male,627000,Retired,Graduate,Married,Tier-2,155000,0,High,652,51,40,1,0.407,1,0
QMF00237,62,Male,350000,Salaried,Graduate,Married,Tier-1,49000,1,Medium,796,32,68,4,0.187,0,1
